"id","label","persistentId","source.label","sourceItemId","source.urlTemplate","concept.vocabulary.code","concept.code","concept.uri"
44410,"Alteryx","4UtwMD","TAPoR","1633","http://tapor.ca/tools/{source-item-id}","tadirah2","dataVisualization","https://vocabs.dariah.eu/tadirah/dataVisualization"
44410,"Alteryx","4UtwMD","TAPoR","1633","http://tapor.ca/tools/{source-item-id}","tadirah2","analyzing","https://vocabs.dariah.eu/tadirah/analyzing"
44410,"Alteryx","4UtwMD","TAPoR","1633","http://tapor.ca/tools/{source-item-id}","tadirah2","analyzing","https://vocabs.dariah.eu/tadirah/analyzing"
44410,"Alteryx","4UtwMD","TAPoR","1633","http://tapor.ca/tools/{source-item-id}","tadirah2","visualAnalysis","https://vocabs.dariah.eu/tadirah/visualAnalysis"
44410,"Alteryx","4UtwMD","TAPoR","1633","http://tapor.ca/tools/{source-item-id}","tadirah2","contentAnalysis","https://vocabs.dariah.eu/tadirah/contentAnalysis"
44410,"Alteryx","4UtwMD","TAPoR","1633","http://tapor.ca/tools/{source-item-id}","tadirah2","collaborating","https://vocabs.dariah.eu/tadirah/collaborating"
44410,"Alteryx","4UtwMD","TAPoR","1633","http://tapor.ca/tools/{source-item-id}","tadirah2","dataCleansing","https://vocabs.dariah.eu/tadirah/dataCleansing"
44410,"Alteryx","4UtwMD","TAPoR","1633","http://tapor.ca/tools/{source-item-id}","tadirah2","creating","https://vocabs.dariah.eu/tadirah/creating"
44410,"Alteryx","4UtwMD","TAPoR","1633","http://tapor.ca/tools/{source-item-id}","tadirah2","interpreting","https://vocabs.dariah.eu/tadirah/interpreting"
44410,"Alteryx","4UtwMD","TAPoR","1633","http://tapor.ca/tools/{source-item-id}","tadirah2","interpreting","https://vocabs.dariah.eu/tadirah/interpreting"
44410,"Alteryx","4UtwMD","TAPoR","1633","http://tapor.ca/tools/{source-item-id}","tadirah2","dataRecognition","https://vocabs.dariah.eu/tadirah/dataRecognition"
44412,"Altmetric","tNPMTo","TAPoR","1036","http://tapor.ca/tools/{source-item-id}","tadirah2","analyzing","https://vocabs.dariah.eu/tadirah/analyzing"
44412,"Altmetric","tNPMTo","TAPoR","1036","http://tapor.ca/tools/{source-item-id}","tadirah2","analyzing","https://vocabs.dariah.eu/tadirah/analyzing"
44412,"Altmetric","tNPMTo","TAPoR","1036","http://tapor.ca/tools/{source-item-id}","tadirah2","disseminating","https://vocabs.dariah.eu/tadirah/disseminating"
44412,"Altmetric","tNPMTo","TAPoR","1036","http://tapor.ca/tools/{source-item-id}","tadirah2","disseminating","https://vocabs.dariah.eu/tadirah/disseminating"
44416,"Alt.Text","eeF0pG","TAPoR","510","http://tapor.ca/tools/{source-item-id}","tadirah2","dataVisualization","https://vocabs.dariah.eu/tadirah/dataVisualization"
44416,"Alt.Text","eeF0pG","TAPoR","510","http://tapor.ca/tools/{source-item-id}","tadirah2","analyzing","https://vocabs.dariah.eu/tadirah/analyzing"
44416,"Alt.Text","eeF0pG","TAPoR","510","http://tapor.ca/tools/{source-item-id}","tadirah2","discovering","https://vocabs.dariah.eu/tadirah/discovering"
44416,"Alt.Text","eeF0pG","TAPoR","510","http://tapor.ca/tools/{source-item-id}","tadirah2","analyzing","https://vocabs.dariah.eu/tadirah/analyzing"
44416,"Alt.Text","eeF0pG","TAPoR","510","http://tapor.ca/tools/{source-item-id}","tadirah2","discovering","https://vocabs.dariah.eu/tadirah/discovering"
44416,"Alt.Text","eeF0pG","TAPoR","510","http://tapor.ca/tools/{source-item-id}","tadirah2","visualAnalysis","https://vocabs.dariah.eu/tadirah/visualAnalysis"
44423,"Alveo","tAGITn","TAPoR","530","http://tapor.ca/tools/{source-item-id}","tadirah2","capturing","https://vocabs.dariah.eu/tadirah/capturing"
44423,"Alveo","tAGITn","TAPoR","530","http://tapor.ca/tools/{source-item-id}","tadirah2","analyzing","https://vocabs.dariah.eu/tadirah/analyzing"
44423,"Alveo","tAGITn","TAPoR","530","http://tapor.ca/tools/{source-item-id}","tadirah2","discovering","https://vocabs.dariah.eu/tadirah/discovering"
44423,"Alveo","tAGITn","TAPoR","530","http://tapor.ca/tools/{source-item-id}","tadirah2","analyzing","https://vocabs.dariah.eu/tadirah/analyzing"
44423,"Alveo","tAGITn","TAPoR","530","http://tapor.ca/tools/{source-item-id}","tadirah2","discovering","https://vocabs.dariah.eu/tadirah/discovering"
44423,"Alveo","tAGITn","TAPoR","530","http://tapor.ca/tools/{source-item-id}","tadirah2","contentAnalysis","https://vocabs.dariah.eu/tadirah/contentAnalysis"
44423,"Alveo","tAGITn","TAPoR","530","http://tapor.ca/tools/{source-item-id}","tadirah2","contentAnalysis","https://vocabs.dariah.eu/tadirah/contentAnalysis"
44423,"Alveo","tAGITn","TAPoR","530","http://tapor.ca/tools/{source-item-id}","tadirah2","collaborating","https://vocabs.dariah.eu/tadirah/collaborating"
44423,"Alveo","tAGITn","TAPoR","530","http://tapor.ca/tools/{source-item-id}","tadirah2","capturing","https://vocabs.dariah.eu/tadirah/capturing"
44423,"Alveo","tAGITn","TAPoR","530","http://tapor.ca/tools/{source-item-id}","tadirah2","gathering","https://vocabs.dariah.eu/tadirah/gathering"
44423,"Alveo","tAGITn","TAPoR","530","http://tapor.ca/tools/{source-item-id}","tadirah2","collaborating","https://vocabs.dariah.eu/tadirah/collaborating"
44423,"Alveo","tAGITn","TAPoR","530","http://tapor.ca/tools/{source-item-id}","tadirah2","gathering","https://vocabs.dariah.eu/tadirah/gathering"
44423,"Alveo","tAGITn","TAPoR","530","http://tapor.ca/tools/{source-item-id}","tadirah2","disseminating","https://vocabs.dariah.eu/tadirah/disseminating"
44423,"Alveo","tAGITn","TAPoR","530","http://tapor.ca/tools/{source-item-id}","tadirah2","disseminating","https://vocabs.dariah.eu/tadirah/disseminating"
44424,"Alveo Virtual Laboratory","sJVV15","TAPoR","708","http://tapor.ca/tools/{source-item-id}","tadirah2","analyzing","https://vocabs.dariah.eu/tadirah/analyzing"
44424,"Alveo Virtual Laboratory","sJVV15","TAPoR","708","http://tapor.ca/tools/{source-item-id}","tadirah2","analyzing","https://vocabs.dariah.eu/tadirah/analyzing"
48200,"AMADO-online","spdPRI",NA,NA,NA,"tadirah2","dataVisualization","https://vocabs.dariah.eu/tadirah/dataVisualization"
48200,"AMADO-online","spdPRI",NA,NA,NA,"tadirah2","visualAnalysis","https://vocabs.dariah.eu/tadirah/visualAnalysis"
44426,"Amazon Comprehend","9XIqow","TAPoR","1531","http://tapor.ca/tools/{source-item-id}","tadirah2","analyzing","https://vocabs.dariah.eu/tadirah/analyzing"
