"ssh.id" "ssh.label" "tadirah.id" "tadirah.uri" "wd.tadirahid" "wd.label" "tapor.id" "tapor.label" "tapor.desc" "wd.item"
"46" "RY4LgT" "Advene" "sharing" "https://vocabs.dariah.eu/tadirah/sharing" "Q459221" "sharing" "940" "Advene" "The cross-platform Advene application allows users to easily create comments and analyses of video documents, through the definition of time-aligned annotations and their mobilisation intoautomatically-generated or user-written comment views (HTML documents). Annotations can also be used to modify the rendition of the audiovisual document, thus providing virtual montage, captioning, navigation... capabilities. Users can exchange their comments/analyses in the form of Advene packages, independently from the video itself.The Advene framework provides models and tools allowing to design and reuse annotations schemas; annotate video streams according to these schemas; generate and create Stream-Time Based (mainly video-centred) or User-Time Based (mainly text-centred) visualisations of the annotations. Schemas (annotation- and relation-types), annotations and relations, queries and views can be clustered and shared in units called packages. Hypervideo documents are generated when needed, both from packages (for annotation and view description) and DVDs (audiovisual streams)." "Q105848625"
"47" "57QHiH" "Aelfred" "programming" "https://vocabs.dariah.eu/tadirah/programming" "Q80006" "computer programming" "780" "Aelfred" "Aelfred is a bare-bones Java XML parser. It has not been updated since 2002, and is dependent on JDK 1.4, which is very outdated." NA
"48" "foI8Mi" "Aeon Timeline" "dataVisualization" "https://vocabs.dariah.eu/tadirah/dataVisualization" "Q6504956" "dataVisualization" "874" "Aeon Timeline" "Aeon Timeline is more like an abstract temporal entity management program. I t happens to use a visual timeline, but it allows for conceptual linking of people, places, events in a rather clever fashion. It is intended for brainstorming and collecting via flexible input and export. With Aeon, you can divide your timeline into logical groups, projects, or concurrent arcs. You can model the relationships between events and people, places and ideas. Aeon calculates people's ages for you. And you can link your events with research material such as external files or images that can be displayed inside the application." NA
"49" "foI8Mi" "Aeon Timeline" "visualAnalysis" "https://vocabs.dariah.eu/tadirah/visualAnalysis" "Q95832426" "visualAnalysis" "874" "Aeon Timeline" "Aeon Timeline is more like an abstract temporal entity management program. I t happens to use a visual timeline, but it allows for conceptual linking of people, places, events in a rather clever fashion. It is intended for brainstorming and collecting via flexible input and export. With Aeon, you can divide your timeline into logical groups, projects, or concurrent arcs. You can model the relationships between events and people, places and ideas. Aeon calculates people's ages for you. And you can link your events with research material such as external files or images that can be displayed inside the application." NA
"50" "5A70DH" "Afloat" "communicating" "https://vocabs.dariah.eu/tadirah/communicating" "Q11024" "communicating" "1439" "Afloat" "Afloat is a utility that adds new window management functionality to OSX, including keeping a window on top, or turning a window into an overlay on the screen. This can be particularly useful in full-screen view (e.g. during a presentation) when you want to keep another small window, such as a Twitter client, visible somewhere on the screen." NA
"51" "2zIseh" "A-frame" "creating" "https://vocabs.dariah.eu/tadirah/creating" "Q123819227" "creating" "1598" "A-Frame" "a-Frame is a web framework for building virtual reality (VR) experiences. A-Frame is based on top of HTML, making it simple to get started. But A-Frame is not just a 3D scene graph or a markup language; the core is a powerful entity-component framework that provides a declarative, extensible, and composable structure to three.js." "Q28135597"
"52" "2zIseh" "A-frame" "enriching" "https://vocabs.dariah.eu/tadirah/enriching" "Q123750937" "enriching" "1598" "A-Frame" "a-Frame is a web framework for building virtual reality (VR) experiences. A-Frame is based on top of HTML, making it simple to get started. But A-Frame is not just a 3D scene graph or a markup language; the core is a powerful entity-component framework that provides a declarative, extensible, and composable structure to three.js." "Q28135597"
"53" "2zIseh" "A-frame" "disseminating" "https://vocabs.dariah.eu/tadirah/disseminating" "Q123819226" "disseminating" "1598" "A-Frame" "a-Frame is a web framework for building virtual reality (VR) experiences. A-Frame is based on top of HTML, making it simple to get started. But A-Frame is not just a 3D scene graph or a markup language; the core is a powerful entity-component framework that provides a declarative, extensible, and composable structure to three.js." "Q28135597"
"54" "2zIseh" "A-frame" "imaging" "https://vocabs.dariah.eu/tadirah/imaging" "Q12713609" "imaging" "1598" "A-Frame" "a-Frame is a web framework for building virtual reality (VR) experiences. A-Frame is based on top of HTML, making it simple to get started. But A-Frame is not just a 3D scene graph or a markup language; the core is a powerful entity-component framework that provides a declarative, extensible, and composable structure to three.js." "Q28135597"
"55" "2zIseh" "A-frame" "webDevelopment" "https://vocabs.dariah.eu/tadirah/webDevelopment" "Q386275" "web development" "1598" "A-Frame" "a-Frame is a web framework for building virtual reality (VR) experiences. A-Frame is based on top of HTML, making it simple to get started. But A-Frame is not just a 3D scene graph or a markup language; the core is a powerful entity-component framework that provides a declarative, extensible, and composable structure to three.js." "Q28135597"
"56" "isedTr" "Agisoft Metashape" "capturing" "https://vocabs.dariah.eu/tadirah/capturing" "Q123819225" "capturing" NA NA NA NA
"57" "isedTr" "Agisoft Metashape" "spatialAnalysis" "https://vocabs.dariah.eu/tadirah/spatialAnalysis" "Q1938983" "spatial analysis" NA NA NA NA
"58" "isedTr" "Agisoft Metashape" "enriching" "https://vocabs.dariah.eu/tadirah/enriching" "Q123750937" "enriching" NA NA NA NA
"59" "isedTr" "Agisoft Metashape" "editing" "https://vocabs.dariah.eu/tadirah/editing" "Q194105" "editing" NA NA NA NA
"60" "isedTr" "Agisoft Metashape" "imaging" "https://vocabs.dariah.eu/tadirah/imaging" "Q12713609" "imaging" NA NA NA NA
"61" "knCcCv" "Aïoli platform" "dataVisualization" "https://vocabs.dariah.eu/tadirah/dataVisualization" "Q6504956" "dataVisualization" NA NA NA NA
"62" "bbGlRd" "Alfresco" "creating" "https://vocabs.dariah.eu/tadirah/creating" "Q123819227" "creating" "1635" "Alfresco" "This is cloud-native Enterprise content management (ECM) with which you can manage content from anywhere, connect information with users everywhere and deliver apps to any device. Alfresco enables businesses to increase worker productivity, govern valuable information and deliver exceptional customer experiences." "Q946976"
"63" "bbGlRd" "Alfresco" "collaborating" "https://vocabs.dariah.eu/tadirah/collaborating" "Q1145523" "collaborating" "1635" "Alfresco" "This is cloud-native Enterprise content management (ECM) with which you can manage content from anywhere, connect information with users everywhere and deliver apps to any device. Alfresco enables businesses to increase worker productivity, govern valuable information and deliver exceptional customer experiences." "Q946976"
"64" "bbGlRd" "Alfresco" "archiving" "https://vocabs.dariah.eu/tadirah/archiving" "Q10418049" "archiving" "1635" "Alfresco" "This is cloud-native Enterprise content management (ECM) with which you can manage content from anywhere, connect information with users everywhere and deliver apps to any device. Alfresco enables businesses to increase worker productivity, govern valuable information and deliver exceptional customer experiences." "Q946976"
"65" "bbGlRd" "Alfresco" "commenting" "https://vocabs.dariah.eu/tadirah/commenting" "Q123783460" "commenting" "1635" "Alfresco" "This is cloud-native Enterprise content management (ECM) with which you can manage content from anywhere, connect information with users everywhere and deliver apps to any device. Alfresco enables businesses to increase worker productivity, govern valuable information and deliver exceptional customer experiences." "Q946976"
"66" "bbGlRd" "Alfresco" "organizing" "https://vocabs.dariah.eu/tadirah/organizing" "Q36993249" "organizing" "1635" "Alfresco" "This is cloud-native Enterprise content management (ECM) with which you can manage content from anywhere, connect information with users everywhere and deliver apps to any device. Alfresco enables businesses to increase worker productivity, govern valuable information and deliver exceptional customer experiences." "Q946976"
"67" "bbGlRd" "Alfresco" "sharing" "https://vocabs.dariah.eu/tadirah/sharing" "Q459221" "sharing" "1635" "Alfresco" "This is cloud-native Enterprise content management (ECM) with which you can manage content from anywhere, connect information with users everywhere and deliver apps to any device. Alfresco enables businesses to increase worker productivity, govern valuable information and deliver exceptional customer experiences." "Q946976"
"68" "bbGlRd" "Alfresco" "storing" "https://vocabs.dariah.eu/tadirah/storing" "Q123819222" "storing" "1635" "Alfresco" "This is cloud-native Enterprise content management (ECM) with which you can manage content from anywhere, connect information with users everywhere and deliver apps to any device. Alfresco enables businesses to increase worker productivity, govern valuable information and deliver exceptional customer experiences." "Q946976"
"69" "YKv47J" "ALGOL" "programming" "https://vocabs.dariah.eu/tadirah/programming" "Q80006" "computer programming" "487" "ALGOL" "ALGOL (Algorithmic Language) was a programming language developed in the mid 1950s and often discussed in relation to humanities research applications, such as concordances or computational linguistics." "Q188436"
"70" "YKv47J" "ALGOL" "creating" "https://vocabs.dariah.eu/tadirah/creating" "Q123819227" "creating" "487" "ALGOL" "ALGOL (Algorithmic Language) was a programming language developed in the mid 1950s and often discussed in relation to humanities research applications, such as concordances or computational linguistics." "Q188436"
