"ssh.id","ssh.label","tapor.id","wd.item","wd.item.tadirah","tadirah.uri"
"113","spdPRI","AMADO-online",NA,NA,"Q6504956","https://vocabs.dariah.eu/tadirah/dataVisualization"
"114","spdPRI","AMADO-online",NA,NA,"Q95832426","https://vocabs.dariah.eu/tadirah/visualAnalysis"
"115","9XIqow","Amazon Comprehend","1531","Q110644161","Q217602","https://vocabs.dariah.eu/tadirah/analyzing"
"116","9XIqow","Amazon Comprehend","1531","Q110644161","Q653137","https://vocabs.dariah.eu/tadirah/contentAnalysis"
"117","qO4IIL","Analyse-it","1486","Q4751088","Q6504956","https://vocabs.dariah.eu/tadirah/dataVisualization"
"118","qO4IIL","Analyse-it","1486","Q4751088","Q217602","https://vocabs.dariah.eu/tadirah/analyzing"
"119","qO4IIL","Analyse-it","1486","Q4751088","Q95832426","https://vocabs.dariah.eu/tadirah/visualAnalysis"
"120","aIi3cE","Analyse-it Method Validation Edition","713",NA,"Q6504956","https://vocabs.dariah.eu/tadirah/dataVisualization"
"121","aIi3cE","Analyse-it Method Validation Edition","713",NA,"Q217602","https://vocabs.dariah.eu/tadirah/analyzing"
"122","aIi3cE","Analyse-it Method Validation Edition","713",NA,"Q95832426","https://vocabs.dariah.eu/tadirah/visualAnalysis"
"123","wc6vM5","Analyse-it Quality Control & Improvement Edition","712",NA,"Q6504956","https://vocabs.dariah.eu/tadirah/dataVisualization"
"124","wc6vM5","Analyse-it Quality Control & Improvement Edition","712",NA,"Q217602","https://vocabs.dariah.eu/tadirah/analyzing"
"125","wc6vM5","Analyse-it Quality Control & Improvement Edition","712",NA,"Q95832426","https://vocabs.dariah.eu/tadirah/visualAnalysis"
"126","eJcCIJ","Analyse-it Standard Edition","714",NA,"Q6504956","https://vocabs.dariah.eu/tadirah/dataVisualization"
"127","eJcCIJ","Analyse-it Standard Edition","714",NA,"Q217602","https://vocabs.dariah.eu/tadirah/analyzing"
"128","eJcCIJ","Analyse-it Standard Edition","714",NA,"Q857525","https://vocabs.dariah.eu/tadirah/annotating"
"129","DP69ob","Anki","793","Q557318","Q123750937","https://vocabs.dariah.eu/tadirah/enriching"
"130","E8DhE2","ANNIS (ANNotation of Information Structure)","304",NA,"Q6504956","https://vocabs.dariah.eu/tadirah/dataVisualization"
"131","E8DhE2","ANNIS (ANNotation of Information Structure)","304",NA,"Q217602","https://vocabs.dariah.eu/tadirah/analyzing"
"132","E8DhE2","ANNIS (ANNotation of Information Structure)","304",NA,"Q95832426","https://vocabs.dariah.eu/tadirah/visualAnalysis"
"133","E8DhE2","ANNIS (ANNotation of Information Structure)","304",NA,"Q123750937","https://vocabs.dariah.eu/tadirah/enriching"
"134","E8DhE2","ANNIS (ANNotation of Information Structure)","304",NA,"Q857525","https://vocabs.dariah.eu/tadirah/annotating"
"135","WSx0Hx","A.nnotate","1614","Q4648761","Q1145523","https://vocabs.dariah.eu/tadirah/collaborating"
"136","WSx0Hx","A.nnotate","1614","Q4648761","Q857525","https://vocabs.dariah.eu/tadirah/annotating"
"137","WSx0Hx","A.nnotate","1614","Q4648761","Q123783460","https://vocabs.dariah.eu/tadirah/commenting"
"138","WSx0Hx","A.nnotate","1614","Q4648761","Q123819222","https://vocabs.dariah.eu/tadirah/storing"
"139","WgVsOq","Annotate","1118",NA,"Q1145523","https://vocabs.dariah.eu/tadirah/collaborating"
"140","WgVsOq","Annotate","1118",NA,"Q857525","https://vocabs.dariah.eu/tadirah/annotating"
"141","WgVsOq","Annotate","1118",NA,"Q36993249","https://vocabs.dariah.eu/tadirah/organizing"
"142","WgVsOq","Annotate","1118",NA,"Q194105","https://vocabs.dariah.eu/tadirah/editing"
"143","gKEK3M","AnnotateIt","1019",NA,NA,NA
"144","e2uRBt","Annotation Graph Toolkit (AGTK)","1292","Q104891173","Q1783551","https://vocabs.dariah.eu/tadirah/converting"
"145","e2uRBt","Annotation Graph Toolkit (AGTK)","1292","Q104891173","Q857525","https://vocabs.dariah.eu/tadirah/annotating"
"146","e2uRBt","Annotation Graph Toolkit (AGTK)","1292","Q104891173","Q207714","https://vocabs.dariah.eu/tadirah/transcribing"
"147","98ulMr","Annotations","828","Q105229735","Q857525","https://vocabs.dariah.eu/tadirah/annotating"
"148","98ulMr","Annotations","828","Q105229735","Q15756478","https://vocabs.dariah.eu/tadirah/interpreting"
"149","VOENAw","Annotation Studio","443",NA,"Q123750937","https://vocabs.dariah.eu/tadirah/enriching"
"150","VOENAw","Annotation Studio","443",NA,"Q194105","https://vocabs.dariah.eu/tadirah/editing"
"151","VOENAw","Annotation Studio","443",NA,"Q857525","https://vocabs.dariah.eu/tadirah/annotating"
"152","2xUpv8","Annotator's Workbench","1117",NA,"Q123750937","https://vocabs.dariah.eu/tadirah/enriching"
"153","2xUpv8","Annotator's Workbench","1117",NA,"Q857525","https://vocabs.dariah.eu/tadirah/annotating"
"154","2xUpv8","Annotator's Workbench","1117",NA,"Q194105","https://vocabs.dariah.eu/tadirah/editing"
"155","k2AvKt","Annotorious","934","Q110088633","Q857525","https://vocabs.dariah.eu/tadirah/annotating"
"156","DE6qsb","Annotum","1023",NA,"Q194105","https://vocabs.dariah.eu/tadirah/editing"
"157","DE6qsb","Annotum","1023",NA,"Q857525","https://vocabs.dariah.eu/tadirah/annotating"
"158","DE6qsb","Annotum","1023",NA,"Q123819226","https://vocabs.dariah.eu/tadirah/disseminating"
"159","DE6qsb","Annotum","1023",NA,"Q3972943","https://vocabs.dariah.eu/tadirah/publishing"
"160","DE6qsb","Annotum","1023",NA,"Q110484020","https://vocabs.dariah.eu/tadirah/writing"
"161","t0bBaw","Annozilla (Annotea on Mozilla)","1116",NA,"Q123750937","https://vocabs.dariah.eu/tadirah/enriching"
"162","t0bBaw","Annozilla (Annotea on Mozilla)","1116",NA,"Q857525","https://vocabs.dariah.eu/tadirah/annotating"
"163","0KBK9n","AntConc","148","Q104878038","Q12772819","https://vocabs.dariah.eu/tadirah/discovering"
"164","0KBK9n","AntConc","148","Q104878038","Q217602","https://vocabs.dariah.eu/tadirah/analyzing"
"165","0KBK9n","AntConc","148","Q104878038","Q123751127","https://vocabs.dariah.eu/tadirah/structuralAnalysis"
"166","0KBK9n","AntConc","148","Q104878038","Q839018","https://vocabs.dariah.eu/tadirah/concordance"
"167","Gomh9r","Anthologize","86",NA,"Q6504956","https://vocabs.dariah.eu/tadirah/dataVisualization"
"168","Gomh9r","Anthologize","86",NA,"Q217602","https://vocabs.dariah.eu/tadirah/analyzing"
"169","Gomh9r","Anthologize","86",NA,"Q1145523","https://vocabs.dariah.eu/tadirah/collaborating"
"170","Gomh9r","Anthologize","86",NA,"Q857525","https://vocabs.dariah.eu/tadirah/annotating"
"171","Gomh9r","Anthologize","86",NA,"Q3972943","https://vocabs.dariah.eu/tadirah/publishing"
"172","s4FjTD","ANTHROPAC","520",NA,"Q4417999","https://vocabs.dariah.eu/tadirah/networkAnalysis"
"173","s4FjTD","ANTHROPAC","520",NA,"Q217602","https://vocabs.dariah.eu/tadirah/analyzing"
"174","s4FjTD","ANTHROPAC","520",NA,"Q12772819","https://vocabs.dariah.eu/tadirah/discovering"
"175","s4FjTD","ANTHROPAC","520",NA,"Q653137","https://vocabs.dariah.eu/tadirah/contentAnalysis"
"176","s4FjTD","ANTHROPAC","520",NA,"Q123750937","https://vocabs.dariah.eu/tadirah/enriching"
"177","s4FjTD","ANTHROPAC","520",NA,"Q1172378","https://vocabs.dariah.eu/tadirah/dataCleansing"
"178","s4FjTD","ANTHROPAC","520",NA,"Q36993249","https://vocabs.dariah.eu/tadirah/organizing"
"179","s4FjTD","ANTHROPAC","520",NA,"Q123819222","https://vocabs.dariah.eu/tadirah/storing"
