"wd.item","tapor.id","ssh.id","wd.tadirahid","tadirah.id"
"Q7194874","1052","E9dIJj","Q36993249","organizing"
"Q7194874","1052","E9dIJj","Q123819225","capturing"
"Q7194874","1052","E9dIJj","Q632897","preserving"
"Q7194874","1052","E9dIJj","Q459221","sharing"
"Q908747","1267","YoAIOZ","Q12772819","discovering"
"Q908747","1267","YoAIOZ","Q123751128","gathering"
"Q3560555","839","ZFi3SA","Q194105","editing"
"Q3560555","839","ZFi3SA","Q12713609","imaging"
"Q3560555","839","ZFi3SA","Q386275","webDevelopment"
"Q7119554","490","yDHFPk","Q217602","analyzing"
"Q7119554","490","yDHFPk","Q857525","annotating"
"Q223433","275","9AZIPP","Q80006","programming"
"Q223433","275","9AZIPP","Q123819227","creating"
"Q223433","275","9AZIPP","Q217602","analyzing"
"Q223433","275","9AZIPP","Q12772819","discovering"
"Q223433","275","9AZIPP","Q653137","contentAnalysis"
"Q924422","1253","WscQrC","Q123819227","creating"
"Q924422","1253","WscQrC","Q3972943","publishing"
"Q924422","1253","WscQrC","Q632897","preserving"
"Q924422","1253","WscQrC","Q123819222","storing"
"Q924422","1253","WscQrC","Q386275","webDevelopment"
"Q17146476","830","tqiZaF","Q6504956","dataVisualization"
"Q17146476","830","tqiZaF","Q95832426","visualAnalysis"
"Q3916680","972","YpEya1","Q123751128","gathering"
"Q105319881","1532","pmlvk0","Q6504956","dataVisualization"
"Q105319881","1532","pmlvk0","Q217602","analyzing"
"Q105319881","1532","pmlvk0","Q95832426","visualAnalysis"
"Q105319881","1532","pmlvk0","Q653137","contentAnalysis"
"Q1238722","1076","rlmLKL","Q12772819","discovering"
"Q378530","1290","uJveq7","Q1783551","converting"
"Q378530","1290","uJveq7","Q6504956","dataVisualization"
"Q378530","1290","uJveq7","Q95832426","visualAnalysis"
"Q378530","1290","uJveq7","Q857525","annotating"
"Q378530","1290","uJveq7","Q1172378","dataCleansing"
"Q378530","1290","uJveq7","Q12713609","imaging"
"Q378530","1290","uJveq7","Q207714","transcribing"
"Q378530","1290","uJveq7","Q123751127","structuralAnalysis"
"Q378530","1290","uJveq7","Q13557414","recording"
"Q9062212","360","hANaOA","Q6504956","dataVisualization"
"Q9062212","360","hANaOA","Q217602","analyzing"
"Q9062212","360","hANaOA","Q857525","annotating"
"Q85794420","191","dxdK6g","Q123819225","capturing"
"Q85794420","191","dxdK6g","Q3972943","publishing"
"Q85794420","191","dxdK6g","Q123750937","enriching"
"Q85794420","191","dxdK6g","Q123751128","gathering"
"Q85794420","191","dxdK6g","Q194105","editing"
"Q7245690","797","Q3anVk","Q12772819","discovering"
"Q7245690","797","Q3anVk","Q123751128","gathering"
"Q7245690","797","Q3anVk","Q459221","sharing"
"Q2066865","933","JuW2vQ","Q3265221","identifying"
"Q247670","1261","UP9oZh","Q123819227","creating"
"Q247670","1261","UP9oZh","Q194105","editing"
"Q247670","1261","UP9oZh","Q123783459","designing"
"Q16634747","1061","qDX6aU","Q6504956","dataVisualization"
"Q16634747","1061","qDX6aU","Q217602","analyzing"
"Q16634747","1061","qDX6aU","Q95832426","visualAnalysis"
"Q28865","1366","tt0gGA","Q80006","programming"
"Q28865","1366","tt0gGA","Q386275","webDevelopment"
"Q1329181","976","ucI9sJ","Q1938983","spatialAnalysis"
"Q105229761","519","OMdpEb","Q6504956","dataVisualization"
"Q105229761","519","OMdpEb","Q217602","analyzing"
"Q105229761","519","OMdpEb","Q12772819","discovering"
"Q105229761","519","OMdpEb","Q95832426","visualAnalysis"
"Q105229761","519","OMdpEb","Q653137","contentAnalysis"
"Q105229761","519","OMdpEb","Q123750937","enriching"
"Q105229761","519","OMdpEb","Q857525","annotating"
"Q105229761","519","OMdpEb","Q36993249","organizing"
"Q105229761","519","OMdpEb","Q15756478","interpreting"
"Q105229761","519","OMdpEb","Q123819222","storing"
"Q105229761","519","OMdpEb","Q123783454","contextualizing"
"Q105229761","519","OMdpEb","Q123783456","relationalAnalysis"
"Q102187923","1589","r6kNJy","Q80006","programming"
"Q102187923","1589","r6kNJy","Q4417999","networkAnalysis"
"Q102187923","1589","r6kNJy","Q217602","analyzing"
"Q102187923","1589","r6kNJy","Q653137","contentAnalysis"
"Q102187923","1589","r6kNJy","Q1172378","dataCleansing"
"Q102187923","1589","r6kNJy","Q15756478","interpreting"
"Q678036","1395","pREcqE","Q123819227","creating"
"Q678036","1395","pREcqE","Q123750937","enriching"
